ntw	slice	metrics	min	max	mean	p25	p50	p75
"MX01"	"mx01_140630.xlsx"	"Out-Degree"	0	22	9.7674419	2.25	10	14.75
"MX01"	"mx01_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_140630.xlsx"	"Betweenness"	0	238.84552	24.993353	.02777778	6.7356042	27.260326
"MX01"	"mx01_140630.xlsx"	"Eigenvalue"	-.2769342	0	-.12937387	-.19897576	-.13250454	-.05604482
"MX01"	"mx01_130628.xlsx"	"In-Degree"	0	28	10.139535	4	10	14.75
"MX01"	"mx01_130628.xlsx"	"Out-Degree"	0	24	10.139535	4	10	14.75
"MX01"	"mx01_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_130628.xlsx"	"Betweenness"	0	184.83946	22.619179	.49642857	7.4607504	26.623277
"MX01"	"mx01_130628.xlsx"	"Eigenvalue"	-.29561154	0	-.12876747	-.1882056	-.13531893	-.07152809
"MX01"	"mx01_081031.xlsx"	"In-Degree"	0	26	8.5813953	1	8	13
"MX01"	"mx01_081031.xlsx"	"Out-Degree"	0	23	8.5813953	1	8	13
"MX01"	"mx01_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_081031.xlsx"	"Betweenness"	0	155.35012	25.433857	0	2.747619	33.844913
"MX01"	"mx01_081031.xlsx"	"Eigenvalue"	0	.30506987	.1226968	.02412183	.12691115	.20290821
"KR01"	"kr01.xlsx"	"In-Degree"	9	17	14.611111	14	15	16
"KR01"	"kr01.xlsx"	"Out-Degree"	5	17	14.611111	14	15	16
"KR01"	"kr01.xlsx"	"Closeness"	.18966965	.91485115	.63745768	.56556552	.68040431	.76392576
"KR01"	"kr01.xlsx"	"Betweenness"	0	4.4122988	.49344421	0	.05555556	.36363636
"KR01"	"kr01.xlsx"	"Eigenvalue"	-.26220692	-.08024456	-.23179771	-.25716404	-.245639	-.21949117
"IT01"	"it01_122013.xlsx"	"In-Degree"	0	349	5.5955882	1	1	2
"IT01"	"it01_122013.xlsx"	"Out-Degree"	0	308	5.5955882	1	1	2
"IT01"	"it01_122013.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_122013.xlsx"	"Betweenness"	0	272984.47	1104.8008	0	0	28.095506
"IT01"	"it01_122013.xlsx"	"Eigenvalue"	0	.51056535	.03166579	.02161859	.03039479	.03675422
"IT01"	"it01_092014.xlsx"	"In-Degree"	0	341	6.0150943	1	1	3
"IT01"	"it01_092014.xlsx"	"Out-Degree"	0	308	6.0150943	1	1	3
"IT01"	"it01_092014.xlsx"	"Closeness"	0	0	0	0	0	0
